month,region,service_category,channel,transactions,unique_users,digital_adoption_pct,avg_completion_min,cost_per_txn_sar,csat,sla_met_pct,complaints
2021-07-01,Al-Baha,Business & Licensing,Branch,5727,4745,33.4,117.0,51.88,3.05,80.7,10
2021-07-01,Al-Baha,Business & Licensing,Call Center,2575,1708,33.4,31.5,24.11,3.57,93.2,2
2021-07-01,Al-Baha,Business & Licensing,Mobile App,1936,721,33.4,13.7,6.26,4.13,96.2,1
2021-07-01,Al-Baha,Business & Licensing,Web Portal,2425,1221,33.4,19.4,8.63,3.85,94.9,3
2021-07-01,Al-Baha,Education & Training,Branch,7443,5923,37.0,29.4,39.0,3.55,84.4,7
2021-07-01,Al-Baha,Education & Training,Call Center,3081,2009,37.0,19.9,16.2,3.7,89.3,3
2021-07-01,Al-Baha,Education & Training,Mobile App,2743,1080,37.0,5.1,3.98,4.51,98.1,1
2021-07-01,Al-Baha,Education & Training,Web Portal,3512,1767,37.0,10.3,5.95,4.16,95.9,2
2021-07-01,Al-Baha,Health Services,Branch,9516,7979,38.3,32.5,49.61,3.61,85.2,8
2021-07-01,Al-Baha,Health Services,Call Center,3891,2549,38.3,24.1,22.43,3.74,86.8,4
2021-07-01,Al-Baha,Health Services,Mobile App,3389,1315,38.3,8.1,4.7,4.48,95.5,1
2021-07-01,Al-Baha,Health Services,Web Portal,4488,2200,38.3,10.6,7.2,4.11,97.4,3
2021-07-01,Al-Baha,Identity & Civil Affairs,Branch,10498,8773,36.8,35.7,42.27,3.5,88.3,13
2021-07-01,Al-Baha,Identity & Civil Affairs,Call Center,4378,2948,36.8,24.3,17.7,3.62,92.3,5
2021-07-01,Al-Baha,Identity & Civil Affairs,Mobile App,3630,1450,36.8,7.5,4.46,4.43,95.5,1
2021-07-01,Al-Baha,Identity & Civil Affairs,Web Portal,4478,2390,36.8,10.8,6.98,4.09,96.4,2
2021-07-01,Al-Baha,Justice & Notary,Branch,3975,3239,31.5,154.0,51.71,3.12,82.8,5
2021-07-01,Al-Baha,Justice & Notary,Call Center,1834,1226,31.5,40.9,26.28,3.49,90.1,3
2021-07-01,Al-Baha,Justice & Notary,Mobile App,1201,448,31.5,15.4,5.71,4.1,95.8,1
2021-07-01,Al-Baha,Justice & Notary,Web Portal,1555,801,31.5,19.4,9.91,3.94,95.2,1
2021-07-01,Al-Baha,Labour & HR Services,Branch,6364,5117,37.7,38.3,48.5,3.39,87.4,8
2021-07-01,Al-Baha,Labour & HR Services,Call Center,2730,1799,37.7,24.2,20.6,3.7,84.6,3
2021-07-01,Al-Baha,Labour & HR Services,Mobile App,2360,907,37.7,6.6,4.75,4.28,96.6,1
2021-07-01,Al-Baha,Labour & HR Services,Web Portal,2951,1449,37.7,12.8,6.57,3.98,96.0,2
2021-07-01,Al-Baha,Municipal Services,Branch,7213,6099,34.9,41.4,48.75,3.33,86.7,10
2021-07-01,Al-Baha,Municipal Services,Call Center,3169,2092,34.9,23.4,21.65,3.67,87.3,4
2021-07-01,Al-Baha,Municipal Services,Mobile App,2472,950,34.9,10.0,5.17,4.18,94.4,1
2021-07-01,Al-Baha,Municipal Services,Web Portal,2970,1543,34.9,12.7,7.68,3.9,95.7,2
2021-07-01,Al-Baha,Social Support & Subsidies,Branch,5536,4614,34.2,41.5,44.52,3.45,87.3,10
2021-07-01,Al-Baha,Social Support & Subsidies,Call Center,2199,1429,34.2,24.8,20.61,3.72,89.9,2
2021-07-01,Al-Baha,Social Support & Subsidies,Mobile App,1633,643,34.2,9.4,4.24,4.4,95.9,1
2021-07-01,Al-Baha,Social Support & Subsidies,Web Portal,2212,1121,34.2,12.8,8.15,4.05,98.4,1
2021-07-01,Al-Baha,Traffic & Transport,Branch,8201,7233,37.0,32.4,40.05,3.26,87.9,15
2021-07-01,Al-Baha,Traffic & Transport,Call Center,3851,2494,37.0,19.4,19.01,3.48,89.0,5
2021-07-01,Al-Baha,Traffic & Transport,Mobile App,3360,1294,37.0,7.3,4.11,4.12,95.2,2
2021-07-01,Al-Baha,Traffic & Transport,Web Portal,4184,2133,37.0,10.1,6.48,4.03,95.7,3
2021-07-01,Al-Jouf,Business & Licensing,Branch,7086,5631,28.5,61.3,53.8,3.21,83.9,9
2021-07-01,Al-Jouf,Business & Licensing,Call Center,3293,2113,28.5,34.4,25.95,3.6,86.3,3
2021-07-01,Al-Jouf,Business & Licensing,Mobile App,1929,763,28.5,10.5,5.47,4.23,94.8,1
2021-07-01,Al-Jouf,Business & Licensing,Web Portal,2284,1165,28.5,17.9,7.39,3.89,97.8,2
2021-07-01,Al-Jouf,Education & Training,Branch,9246,7703,30.7,28.3,38.57,3.54,88.8,11
2021-07-01,Al-Jouf,Education & Training,Call Center,3963,2571,30.7,17.2,17.6,3.6,84.8,5
2021-07-01,Al-Jouf,Education & Training,Mobile App,2586,970,30.7,5.7,3.73,4.41,98.7,1
2021-07-01,Al-Jouf,Education & Training,Web Portal,3093,1604,30.7,9.5,5.87,4.11,99.1,3
2021-07-01,Al-Jouf,Health Services,Branch,11750,9446,29.6,25.3,38.86,3.47,88.5,11
2021-07-01,Al-Jouf,Health Services,Call Center,4875,3197,29.6,20.1,18.99,3.78,89.3,4
2021-07-01,Al-Jouf,Health Services,Mobile App,3161,1220,29.6,6.6,4.57,4.36,95.1,1
2021-07-01,Al-Jouf,Health Services,Web Portal,3810,1946,29.6,10.3,6.72,4.16,98.0,2
2021-07-01,Al-Jouf,Identity & Civil Affairs,Branch,12596,10853,31.7,37.5,43.39,3.56,86.5,9
2021-07-01,Al-Jouf,Identity & Civil Affairs,Call Center,5243,3402,31.7,22.9,20.4,3.78,89.2,4
2021-07-01,Al-Jouf,Identity & Civil Affairs,Mobile App,3552,1412,31.7,6.4,4.37,4.43,95.9,1
2021-07-01,Al-Jouf,Identity & Civil Affairs,Web Portal,4505,2312,31.7,10.7,6.25,4.25,95.3,2
2021-07-01,Al-Jouf,Justice & Notary,Branch,4741,4061,27.0,60.5,54.5,3.18,89.4,6
2021-07-01,Al-Jouf,Justice & Notary,Call Center,2042,1316,27.0,36.2,23.92,3.52,88.7,2
2021-07-01,Al-Jouf,Justice & Notary,Mobile App,1139,435,27.0,13.3,5.48,4.21,98.9,1
2021-07-01,Al-Jouf,Justice & Notary,Web Portal,1394,735,27.0,21.1,9.26,3.92,97.6,2
2021-07-01,Al-Jouf,Labour & HR Services,Branch,7455,6459,29.0,36.0,39.81,3.37,85.8,10
2021-07-01,Al-Jouf,Labour & HR Services,Call Center,3302,2024,29.0,20.3,19.42,3.74,86.8,3
2021-07-01,Al-Jouf,Labour & HR Services,Mobile App,1991,755,29.0,8.2,4.06,4.23,97.6,1
2021-07-01,Al-Jouf,Labour & HR Services,Web Portal,2736,1501,29.0,11.3,6.73,4.16,97.3,2
2021-07-01,Al-Jouf,Municipal Services,Branch,8673,7192,30.2,40.6,46.62,3.25,86.0,14
2021-07-01,Al-Jouf,Municipal Services,Call Center,3858,2365,30.2,25.3,20.75,3.6,89.1,3
2021-07-01,Al-Jouf,Municipal Services,Mobile App,2350,881,30.2,9.7,4.81,4.19,94.4,1
2021-07-01,Al-Jouf,Municipal Services,Web Portal,2935,1516,30.2,14.6,6.7,3.95,98.7,2
2021-07-01,Al-Jouf,Social Support & Subsidies,Branch,6368,5307,29.2,32.3,41.23,3.43,87.8,8
2021-07-01,Al-Jouf,Social Support & Subsidies,Call Center,2506,1598,29.2,21.8,19.18,3.7,89.4,2
2021-07-01,Al-Jouf,Social Support & Subsidies,Mobile App,1670,633,29.2,7.3,4.19,4.32,96.2,1
2021-07-01,Al-Jouf,Social Support & Subsidies,Web Portal,1971,997,29.2,12.2,6.75,4.17,96.3,1
2021-07-01,Al-Jouf,Traffic & Transport,Branch,10335,8410,32.3,32.1,39.26,3.28,84.4,14
2021-07-01,Al-Jouf,Traffic & Transport,Call Center,4884,3053,32.3,17.6,18.65,3.56,90.2,5
2021-07-01,Al-Jouf,Traffic & Transport,Mobile App,3270,1219,32.3,6.2,4.0,4.22,97.1,2
2021-07-01,Al-Jouf,Traffic & Transport,Web Portal,3682,1883,32.3,9.2,6.08,4.02,95.7,3
2021-07-01,Asir,Business & Licensing,Branch,23695,19173,38.5,130.6,54.75,3.09,81.2,44
2021-07-01,Asir,Business & Licensing,Call Center,11232,7240,38.5,35.1,25.92,3.51,88.0,15
2021-07-01,Asir,Business & Licensing,Mobile App,9863,3812,38.5,11.8,5.96,3.92,95.4,6
2021-07-01,Asir,Business & Licensing,Web Portal,13740,7679,38.5,18.3,8.76,3.88,99.5,9
2021-07-01,Asir,Education & Training,Branch,33440,28828,40.6,26.1,41.07,3.54,87.7,24
2021-07-01,Asir,Education & Training,Call Center,12945,8388,40.6,17.2,18.03,3.79,85.6,10
2021-07-01,Asir,Education & Training,Mobile App,14384,5616,40.6,5.9,4.38,4.4,98.9,5
2021-07-01,Asir,Education & Training,Web Portal,16741,8452,40.6,8.9,6.49,4.16,96.7,8
2021-07-01,Asir,Health Services,Branch,43335,35988,38.9,31.3,46.92,3.5,89.8,55
2021-07-01,Asir,Health Services,Call Center,17857,11599,38.9,18.4,21.64,3.68,86.7,17
2021-07-01,Asir,Health Services,Mobile App,18208,7111,38.9,7.4,5.06,4.39,96.4,7
2021-07-01,Asir,Health Services,Web Portal,18506,9813,38.9,10.0,6.61,4.13,98.2,11
2021-07-01,Asir,Identity & Civil Affairs,Branch,45495,37317,41.3,35.0,44.1,3.43,88.8,70
2021-07-01,Asir,Identity & Civil Affairs,Call Center,19028,12122,41.3,21.4,20.08,3.73,86.1,20
2021-07-01,Asir,Identity & Civil Affairs,Mobile App,21149,8406,41.3,8.1,4.95,4.39,94.3,8
2021-07-01,Asir,Identity & Civil Affairs,Web Portal,25286,13168,41.3,12.0,7.2,4.1,97.4,14
2021-07-01,Asir,Justice & Notary,Branch,18681,15361,35.8,136.0,58.19,3.05,81.5,25
2021-07-01,Asir,Justice & Notary,Call Center,7475,5043,35.8,31.9,28.38,3.56,86.6,5
2021-07-01,Asir,Justice & Notary,Mobile App,5791,2316,35.8,14.1,6.14,4.21,96.4,2
2021-07-01,Asir,Justice & Notary,Web Portal,7373,3681,35.8,19.0,9.53,3.85,96.6,6
2021-07-01,Asir,Labour & HR Services,Branch,30338,24278,38.1,35.0,47.52,3.3,89.2,50
